max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3333333333333333,1.0,19.19720311164856,0.75
10,9.0,0.3289855072463768,2.0,43.86234965324402,0.7128410073915232
20,18.2,0.3256935817805383,3.0,103.81153736114501,0.6894051440174398
30,27.8,0.32119144237405106,4.2,185.77217378616334,0.651835552083031
40,37.6,0.31800509382496955,6.4,314.6689196109772,0.6025054623385184
50,48.4,0.3055169657234874,8.6,462.78415565490724,0.48451993078104605
60,58.4,0.2993541062801932,10.8,656.5608986854553,0.4040163506284947
70,68.6,0.30242947980629137,12.2,858.7896087169647,0.4026467085076807
80,77.8,0.30117103421078584,14.2,1122.4811977386476,0.34847965123279623
90,88.6,0.29975448246931624,16.2,1369.1497078895568,0.30002476983142956
100,97.0,0.3020741947342544,17.8,1672.3364256381988,0.27001287764585724
