epoch,avg_node,avg_day,avg_time_process,param_score
10,97.2,17.0,13.362708282470702,0.6666666666666677
15,96.2,16.8,19.469690561294556,0.5395499232659894
25,97.0,16.8,31.825750494003294,0.7019338514004634
50,97.0,16.8,65.40802435874939,0.6902938869569063
75,96.8,17.2,100.82744545936585,0.469683814892806
100,97.4,16.6,133.2182376384735,0.8334568303597779
150,97.6,16.8,194.73218855857849,0.770468790269245
250,96.8,16.8,331.24209599494935,0.5564863737771717
500,96.4,16.4,647.6072525024414,0.5301642624625686
750,96.0,16.8,975.0573373794556,0.166666666666666
