,full_params_tuned,params_tuned,avg_node,avg_fitness,avg_day,avg_time_process,param_score
0,"{'epoch': 30, 'pop_size': 25.0, 'n_elites': 16, 'n_others': 3.0, 'patch_size': 3.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 25.0, 'n_others': 3.0, 'patch_size': 3.0}",97.4,0.8456549199130174,17.2,17.208254051208495,0.7936221330717658
1,"{'epoch': 30, 'pop_size': 25.0, 'n_elites': 16, 'n_others': 4.0, 'patch_size': 3.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 25.0, 'n_others': 4.0, 'patch_size': 3.0}",97.2,0.841164294997294,17.4,18.885642576217652,0.567595080021426
2,"{'epoch': 30, 'pop_size': 25.0, 'n_elites': 16, 'n_others': 5.0, 'patch_size': 3.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 25.0, 'n_others': 5.0, 'patch_size': 3.0}",97.8,0.8366538462943419,17.4,19.99516930580139,0.7136872546035825
3,"{'epoch': 30, 'pop_size': 50.0, 'n_elites': 16, 'n_others': 3.0, 'patch_size': 3.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 50.0, 'n_others': 3.0, 'patch_size': 3.0}",97.8,0.8377482476799554,17.6,30.977676916122437,0.6338698447318734
4,"{'epoch': 30, 'pop_size': 50.0, 'n_elites': 16, 'n_others': 4.0, 'patch_size': 3.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 50.0, 'n_others': 4.0, 'patch_size': 3.0}",97.4,0.840663446326784,17.6,30.597295236587524,0.5322866268168687
5,"{'epoch': 30, 'pop_size': 50.0, 'n_elites': 16, 'n_others': 5.0, 'patch_size': 3.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 50.0, 'n_others': 5.0, 'patch_size': 3.0}",97.4,0.8420725414167973,17.2,29.577328491210938,0.6403247715503605
6,"{'epoch': 30, 'pop_size': 100.0, 'n_elites': 16, 'n_others': 3.0, 'patch_size': 3.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 100.0, 'n_others': 3.0, 'patch_size': 3.0}",97.4,0.8390558529262602,17.4,52.1590072631836,0.4005741166844212
7,"{'epoch': 30, 'pop_size': 100.0, 'n_elites': 16, 'n_others': 4.0, 'patch_size': 3.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 100.0, 'n_others': 4.0, 'patch_size': 3.0}",97.8,0.8375551605826423,18.0,57.14128179550171,0.3971076532967738
8,"{'epoch': 30, 'pop_size': 100.0, 'n_elites': 16, 'n_others': 5.0, 'patch_size': 3.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 100.0, 'n_others': 5.0, 'patch_size': 3.0}",97.6,0.8409462368806808,17.2,53.38786215782166,0.5527358613057147
9,"{'epoch': 30, 'pop_size': 25.0, 'n_elites': 16, 'n_others': 3.0, 'patch_size': 5.0, 'patch_reduction': 0.985, 'n_sites': 3, 'n_elite_sites': 1}","{'pop_size': 25.0, 'n_others': 3.0, 'patch_size': 5.0}",97.4,0.8419869245481848,17.8,16.73897256851196,0.6104285893287773
