,full_params_tuned,params_tuned,avg_node,avg_day,avg_time_process,param_score
0,"{'epoch': 30, 'pop_size': 25.0, 'mixture_ratio': 0.15, 'smp': 5.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 25.0, 'mixture_ratio': 0.15, 'smp': 5.0}",97.6,17.4,82.23664464950562,0.771666515922866
1,"{'epoch': 30, 'pop_size': 25.0, 'mixture_ratio': 0.3, 'smp': 5.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 25.0, 'mixture_ratio': 0.3, 'smp': 5.0}",97.4,17.6,73.58442211151123,0.49999999999999867
2,"{'epoch': 30, 'pop_size': 50.0, 'mixture_ratio': 0.15, 'smp': 5.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 50.0, 'mixture_ratio': 0.15, 'smp': 5.0}",97.8,17.6,171.87841234207153,0.6527949380273473
3,"{'epoch': 30, 'pop_size': 50.0, 'mixture_ratio': 0.3, 'smp': 5.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 50.0, 'mixture_ratio': 0.3, 'smp': 5.0}",97.8,17.4,137.7771626472473,0.8435480940959557
4,"{'epoch': 30, 'pop_size': 100.0, 'mixture_ratio': 0.15, 'smp': 5.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 100.0, 'mixture_ratio': 0.15, 'smp': 5.0}",97.6,17.4,264.4111597061157,0.6429925064515754
5,"{'epoch': 30, 'pop_size': 100.0, 'mixture_ratio': 0.3, 'smp': 5.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 100.0, 'mixture_ratio': 0.3, 'smp': 5.0}",98.0,17.6,219.35676379203795,0.73037100806943
6,"{'epoch': 30, 'pop_size': 25.0, 'mixture_ratio': 0.15, 'smp': 10.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 25.0, 'mixture_ratio': 0.15, 'smp': 10.0}",97.6,17.4,133.05608038902284,0.735771590918453
7,"{'epoch': 30, 'pop_size': 25.0, 'mixture_ratio': 0.3, 'smp': 10.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 25.0, 'mixture_ratio': 0.3, 'smp': 10.0}",97.8,17.8,112.23326683044434,0.5282569962050693
8,"{'epoch': 30, 'pop_size': 50.0, 'mixture_ratio': 0.15, 'smp': 10.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 50.0, 'mixture_ratio': 0.15, 'smp': 10.0}",97.4,17.4,268.80795631408694,0.5287758377480604
9,"{'epoch': 30, 'pop_size': 50.0, 'mixture_ratio': 0.3, 'smp': 10.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 50.0, 'mixture_ratio': 0.3, 'smp': 10.0}",97.4,17.8,227.2664129257202,0.22478424272398367
10,"{'epoch': 30, 'pop_size': 100.0, 'mixture_ratio': 0.15, 'smp': 10.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 100.0, 'mixture_ratio': 0.15, 'smp': 10.0}",97.8,17.8,545.5121921539306,0.22222222222221966
11,"{'epoch': 30, 'pop_size': 100.0, 'mixture_ratio': 0.3, 'smp': 10.0, 'spc': True, 'cdc': 0.8, 'srd': 0.15, 'c1': 2.05, 'w_min': 0.4, 'w_max': 0.9, 'selected_strategy': 0}","{'pop_size': 100.0, 'mixture_ratio': 0.3, 'smp': 10.0}",97.6,17.4,442.36138758659365,0.5173022072316453
